
Possible line matches for the gamma energy 107 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
412.650000	Does Not	Exist	2872.390000	2  1		2459.740000	2  1
411.180000	Does Not	Exist	3027.260000	14  1		2616.080000	10  -1

Possible line matches for the gamma energy 417 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
418.169000	Does Not	Exist	1414.426000	1  -1		996.257000	2  1
418.450000	Does Not	Exist	1836.610000	0  1		1418.160000	2  1
417.254000	Does Not	Exist	1948.559000	5  -1		1531.305000	2  1
415.682000	  0.060430	  0.007200	2185.869000	4  -1		1770.187000	5  1
416.823000	Does Not	Exist	2187.010000	1  1		1770.187000	5  1
417.100000	  0.000000	  0.000000	2668.400000	-1  0		2251.300000	9  -1

Possible line matches for the gamma energy 435 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
436.149000	  0.008070	  0.006440	1251.641000	3  -1		815.492000	2  1
436.331000	Does Not	Exist	1432.588000	5  1		996.257000	2  1
435.034000	Does Not	Exist	1617.125000	3  -1		1182.091000	0  1
436.270000	Does Not	Exist	1789.170000	4  1		1352.900000	0  1
433.950000	Does Not	Exist	2040.500000	9  -1		1606.550000	6  1
436.250000	Does Not	Exist	2073.300000	7  1		1637.050000	10  1
434.416000	  0.022010	  0.028000	2080.230000	4  1		1645.814000	4  1
434.977000	Does Not	Exist	2080.791000	3  -1		1645.814000	4  1
436.090000	Does Not	Exist	2137.480000	7  -1		1701.390000	4  1
435.680000	Does Not	Exist	2336.020000	3  -1		1900.340000	2  1
434.770000	Does Not	Exist	2475.270000	9  -1		2040.500000	9  -1
436.340000	  0.373400	  0.024000	2619.530000	10  -1		2183.190000	8  -1
434.840000	Does Not	Exist	2619.530000	10  -1		2184.690000	12  1
434.570000	Does Not	Exist	2744.100000	0  1		2309.530000	2  1
434.080000	Does Not	Exist	2850.300000	2  1		2416.220000	4  1
434.900000	Does Not	Exist	2934.200000	1  1		2499.300000	2  1
435.850000	Does Not	Exist	3122.550000	1  1		2686.700000	2  0

Possible line matches for the gamma energy 465 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
463.723000	Does Not	Exist	1645.814000	4  1		1182.091000	0  1
464.409000	  0.055010	  0.006500	1716.050000	2  1		1251.641000	3  -1
466.350000	Does Not	Exist	1964.050000	2  1		1497.700000	0  1
465.826000	Does Not	Exist	2039.800000	0  1		1573.974000	0  1
463.666000	  0.015060	  0.024000	2080.791000	3  -1		1617.125000	3  -1
466.310000	Does Not	Exist	2185.869000	4  -1		1719.559000	2  -1
464.950000	Does Not	Exist	2254.120000	8  1		1789.170000	4  1
464.220000	Does Not	Exist	2686.700000	2  0		2222.480000	2  1
465.910000	Does Not	Exist	2775.380000	11  -1		2309.470000	8  -1
464.300000	Does Not	Exist	2850.300000	2  1		2386.000000	4  1
466.200000	Does Not	Exist	2872.390000	2  1		2406.190000	2  1
464.180000	Does Not	Exist	2949.280000	2  1		2485.100000	0  1
463.570000	  0.703000	  0.020000	3490.830000	16  1		3027.260000	14  1
466.240000	Does Not	Exist	3894.340000	16  -1		3428.100000	14  -1

Possible line matches for the gamma energy 480 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
478.748000	Does Not	Exist	1606.550000	6  1		1127.802000	3  1
478.812000	Does Not	Exist	1660.903000	3  1		1182.091000	0  1
480.059000	Does Not	Exist	1731.700000	7  -1		1251.641000	3  -1
481.140000	Does Not	Exist	1899.300000	0  1		1418.160000	2  1
478.956000	  0.120000	  0.022000	1911.544000	6  1		1432.588000	5  1
479.880000	Does Not	Exist	2039.800000	0  1		1559.920000	4  -1
478.833000	Does Not	Exist	2249.020000	3  0		1770.187000	5  1
481.113000	Does Not	Exist	2251.300000	9  -1		1770.187000	5  1
480.170000	Does Not	Exist	2277.130000	3  0		1796.960000	3  -1
479.780000	Does Not	Exist	2305.780000	3  1		1826.000000	4  -1
478.600000	Does Not	Exist	2616.080000	10  -1		2137.480000	7  -1
479.010000	Does Not	Exist	2655.040000	2  1		2176.030000	1  1
480.420000	Does Not	Exist	2955.690000	12  -1		2475.270000	9  -1

Possible line matches for the gamma energy 598 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
598.934000	  0.026590	  0.003170	1414.426000	1  -1		815.492000	2  1
598.222000	  0.060960	  0.013900	1645.814000	4  1		1047.592000	4  1
598.172000	Does Not	Exist	1964.050000	2  1		1365.878000	6  1
598.680000	Does Not	Exist	2249.020000	3  0		1650.340000	0  1
598.510000	Does Not	Exist	2299.900000	0  1		1701.390000	4  1
596.830000	Does Not	Exist	2386.000000	4  1		1789.170000	4  1
598.960000	Does Not	Exist	2499.300000	2  1		1900.340000	2  1
597.680000	Does Not	Exist	2637.480000	2  -1		2039.800000	0  1
598.180000	Does Not	Exist	2934.200000	1  1		2336.020000	3  -1
597.980000	Does Not	Exist	3080.000000	1  1		2482.020000	2  1

Possible line matches for the gamma energy 600 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
598.934000	  0.026590	  0.003170	1414.426000	1  -1		815.492000	2  1
