Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
346.400000	Does Not	Exist	2562.000000	7  1		2215.600000	-1  0
347.800000	Does Not	Exist	2617.300000	-1  0		2269.500000	-1  0
346.780000	Does Not	Exist	2622.780000	12  1		2276.000000	-1  0
347.000000	Does Not	Exist	2623.000000	6  1		2276.000000	-1  0
347.600000	Does Not	Exist	2630.600000	-1  0		2283.000000	5  1
347.910000	Does Not	Exist	2647.000000	-1  0		2299.090000	-1  0
348.200000	Does Not	Exist	2697.000000	-1  0		2348.800000	-1  0
348.300000	Does Not	Exist	2704.000000	-1  0		2355.700000	-1  0
346.900000	Does Not	Exist	2718.200000	-1  0		2371.300000	-1  0
347.350000	Does Not	Exist	2742.200000	-1  0		2394.850000	1  1
347.400000	Does Not	Exist	2750.800000	-1  0		2403.400000	-1  0
347.700000	Does Not	Exist	2768.700000	-1  0		2421.000000	6  1
347.900000	Does Not	Exist	2785.000000	-1  0		2437.100000	-1  0
348.200000	Does Not	Exist	2800.000000	-1  0		2451.800000	-1  0
347.700000	Does Not	Exist	2802.700000	0  1		2455.000000	-1  0
347.300000	Does Not	Exist	2817.000000	12  1		2469.700000	-1  0
347.900000	Does Not	Exist	2861.500000	-1  0		2513.600000	-1  0
347.400000	Does Not	Exist	2909.400000	1  0		2562.000000	7  1
346.640000	Does Not	Exist	2963.940000	13  -1		2617.300000	-1  0
347.700000	Does Not	Exist	2965.000000	1  1		2617.300000	-1  0
347.600000	Does Not	Exist	2989.200000	-1  0		2641.600000	-1  0
348.350000	Does Not	Exist	3019.000000	-1  0		2670.650000	12  -1
346.710000	Does Not	Exist	3029.300000	-1  0		2682.590000	13  -1
Possible line matches for the gamma energy 475.369 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
474.673000	  0.057670	  0.021900	1535.664000	4  1		1060.991000	4  1
