Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
347.700000	Does Not	Exist	2802.700000	0  1		2455.000000	1  0
347.300000	Does Not	Exist	2817.000000	2  1		2469.700000	1  0
347.400000	Does Not	Exist	2909.400000	1  0		2562.000000	7  1
347.700000	Does Not	Exist	2965.000000	1  1		2617.300000	1  0
347.600000	Does Not	Exist	2989.200000	1  0		2641.600000	1  0
Possible line matches for the gamma energy 475.369 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
475.322000	Does Not	Exist	1833.250000	5  -1		1357.928000	3  -1
475.404000	Does Not	Exist	2112.600000	1  0		1637.196000	1  -1
475.440000	Does Not	Exist	2283.000000	5  1		1807.560000	8  -1
474.870000	Does Not	Exist	2338.700000	1  0		1863.830000	2  -1
475.270000	Does Not	Exist	2362.940000	1  0		1887.670000	7  1
475.859000	Does Not	Exist	2529.400000	1  0		2053.541000	5  -1
475.300000	Does Not	Exist	2554.300000	1  0		2079.000000	6  1
475.090000	Does Not	Exist	2682.590000	3  -1		2207.500000	1  0
475.150000	Does Not	Exist	2800.000000	1  0		2324.850000	1  0
475.700000	Does Not	Exist	2847.000000	7  1		2371.300000	1  0
475.200000	Does Not	Exist	2861.500000	1  0		2386.300000	1  0
475.000000	Does Not	Exist	2930.000000	9  1		2455.000000	1  0
475.550000	Does Not	Exist	2934.550000	4  1		2459.000000	1  0
475.640000	Does Not	Exist	2963.940000	3  -1		2488.300000	1  0
475.600000	Does Not	Exist	2989.200000	1  0		2513.600000	1  0
474.900000	Does Not	Exist	3012.300000	1  0		2537.400000	1  0
475.000000	Does Not	Exist	3029.300000	1  0		2554.300000	1  0
475.100000	Does Not	Exist	3040.300000	1  0		2565.200000	1  0
Possible line matches for the gamma energy 584.081 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
583.845000	Does Not	Exist	1766.608000	3  -1		1182.763000	5  1
584.280000	  0.199600	  0.004200	1959.360000	9  -1		1375.080000	0  1
583.587000	Does Not	Exist	1974.100000	4  -1		1390.513000	5  -1
584.374000	Does Not	Exist	2102.800000	3  -1		1518.426000	5  -1
583.880000	Does Not	Exist	2338.700000	1  0		1754.820000	7  -1
584.392000	Does Not	Exist	2351.000000	1  0		1766.608000	3  -1
583.630000	Does Not	Exist	2351.000000	1  0		1767.370000	6  1
584.170000	Does Not	Exist	2488.300000	1  0		1904.130000	1  0
583.970000	Does Not	Exist	2494.400000	0  1		1910.430000	3  -1
584.450000	Does Not	Exist	2524.100000	1  0		1939.650000	9  -1
583.600000	Does Not	Exist	2630.600000	1  0		2047.000000	1  0
584.000000	Does Not	Exist	2663.000000	0  1		2079.000000	6  1
584.400000	Does Not	Exist	2697.000000	1  0		2112.600000	1  0
583.688000	Does Not	Exist	2708.900000	1  0		2125.212000	0  1
584.400000	Does Not	Exist	2800.000000	1  0		2215.600000	1  0
584.250000	Does Not	Exist	2815.000000	1  0		2230.750000	1  0
584.020000	Does Not	Exist	2818.200000	1  0		2234.180000	0  -1
583.630000	Does Not	Exist	2859.630000	3  1		2276.000000	1  0
584.550000	Does Not	Exist	2909.400000	1  0		2324.850000	1  0
584.200000	Does Not	Exist	2959.800000	1  0		2375.600000	1  0
583.600000	Does Not	Exist	2965.000000	1  1		2381.400000	1  0
583.900000	Does Not	Exist	2997.000000	1  0		2413.100000	1  0
584.400000	Does Not	Exist	3012.300000	1  0		2427.900000	1  0
Possible line matches for the gamma energy 747.208 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
747.188000	  0.138400	  0.002500	1895.420000	2  1		1148.232000	2  -1
747.485000	  0.411200	  0.000000	2071.950000	4  0		1324.465000	6  1
747.336000	Does Not	Exist	2283.000000	5  1		1535.664000	4  1
747.288000	Does Not	Exist	2318.200000	3  -1		1570.912000	3  -1
746.985000	Does Not	Exist	2381.400000	1  0		1634.415000	5  1
746.830000	Does Not	Exist	2413.100000	1  0		1666.270000	0  1
746.992000	Does Not	Exist	2513.600000	1  0		1766.608000	3  -1
746.720000	Does Not	Exist	2529.400000	1  0		1782.680000	2  1
746.740000	Does Not	Exist	2554.300000	1  0		1807.560000	8  -1
746.900000	Does Not	Exist	2648.000000	1  0		1901.100000	2  1
747.350000	Does Not	Exist	2788.800000	1  0		2041.450000	1  0
747.030000	Does Not	Exist	2859.630000	3  1		2112.600000	1  0
747.000000	Does Not	Exist	2950.000000	1  0		2203.000000	8  1
747.100000	Does Not	Exist	3061.200000	1  1		2314.100000	1  0
747.100000	Does Not	Exist	3085.800000	1  0		2338.700000	1  0
Possible line matches for the gamma energy 1114.69 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1114.761000	Does Not	Exist	2324.850000	1  0		1210.089000	3  -1
1114.207000	Does Not	Exist	2688.500000	1  0		1574.293000	4  1
1114.495000	Does Not	Exist	2785.000000	1  0		1670.505000	8  1
1114.270000	Does Not	Exist	2959.800000	1  0		1845.530000	8  -1
1114.870000	Does Not	Exist	3019.000000	1  0		1904.130000	1  0
Possible line matches for the gamma energy 1141.64 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1142.009000	Does Not	Exist	2203.000000	8  1		1060.991000	4  1
1142.087000	Does Not	Exist	2324.850000	1  0		1182.763000	5  1
1141.880000	Does Not	Exist	2779.800000	1  0		1637.920000	7  -1
1141.495000	Does Not	Exist	2812.000000	1  0		1670.505000	8  1
1142.030000	Does Not	Exist	2909.400000	1  0		1767.370000	6  1
1141.630000	Does Not	Exist	3029.300000	1  0		1887.670000	7  1
Possible line matches for the gamma energy 1161.25 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1161.637000	Does Not	Exist	2344.400000	1  0		1182.763000	5  1
1161.211000	  0.256200	  0.000000	2371.300000	1  0		1210.089000	3  -1
1161.328000	Does Not	Exist	2437.100000	1  0		1275.772000	1  -1
1160.787000	Does Not	Exist	2551.300000	1  0		1390.513000	5  -1
1161.740000	Does Not	Exist	2562.000000	7  1		1400.260000	0  1
